event_id,avg_bbox_size,step_count
424_2024-07-31_in_43,2077.8333333333335,6
424_2024-07-31_in_44,1866.6666666666667,9
424_2024-07-31_in_45,1862.6666666666667,6
424_2024-07-31_in_46,2099.8,5
424_2024-07-30_in_24,1981.8333333333333,6
424_2024-07-30_in_25,1833.2307692307693,13
424_2024-07-27_out_32,1983.8333333333333,24
424_2024-07-27_out_33,2326.1428571428573,14
424_2024-07-27_out_34,2427.0,13
424_2024-07-27_out_35,1936.857142857143,7
424_2024-07-27_in_33,3002.0,4
424_2024-07-27_in_34,1572.0,26
424_2024-07-26_in_38,4298.714285714285,7
424_2024-07-26_in_39,2136.1666666666665,12
424_2024-07-25_out_43,1927.36,25
424_2024-07-25_in_53,2104.3,10
424_2024-07-25_in_54,1838.2777777777778,18
424_2024-07-24_in_40,1946.923076923077,13
424_2024-07-23_in_31,1840.5384615384614,13
424_2024-07-23_in_32,2063.6666666666665,6
424_2024-07-20_in_28,1740.857142857143,14
424_2024-07-20_in_29,2408.0,5
424_2024-07-20_in_30,1817.8484848484848,33
424_2024-07-20_in_31,1910.3333333333333,6
424_2024-07-19_out_32,1556.6,5
424_2024-07-19_in_37,1549.1666666666667,6
424_2024-07-19_in_38,2151.25,4
424_2024-07-18_in_43,1957.0,10
424_2024-07-18_in_44,1616.8333333333333,30
424_2024-07-17_in_39,2440.4736842105262,19
424_2024-07-17_in_40,1972.2857142857142,7
424_2024-07-17_in_41,1638.5,6
424_2024-07-16_in_29,1647.9,10
424_2024-07-16_in_30,2388.153846153846,13
424_2024-07-13_in_28,1927.0,5
424_2024-07-13_in_29,2094.037037037037,27
424_2024-07-11_in_48,1834.6315789473683,19
424_2024-07-11_in_49,1910.8333333333333,6
424_2024-07-10_in_41,1702.875,8
424_2024-07-10_in_42,2913.5,4
424_2024-07-09_in_35,1878.45,20
424_2024-07-09_in_36,2046.8,5
424_2024-07-05_in_42,1553.3333333333333,6
424_2024-07-05_in_43,2060.8,5
424_2024-07-04_in_46,2023.6,5
424_2024-07-04_in_47,2937.75,4
424_2024-06-29_in_39,2443.2,5
424_2024-06-28_in_41,2806.0,5
424_2024-06-28_in_42,2403.5,6
424_2024-06-27_in_53,1609.6666666666667,6
424_2024-06-26_in_53,2484.3333333333335,6
424_2024-06-25_out_45,832.7777777777778,9
424_2024-06-25_in_35,1546.125,8
424_2024-06-25_in_36,1655.388888888889,36
424_2024-06-25_in_37,1514.2586206896551,58
424_2024-06-24_in_2,1772.857142857143,7
424_2024-06-22_in_38,2565.4,5
424_2024-06-22_in_39,2209.55,20
424_2024-06-21_in_57,1999.8,5
424_2024-06-21_in_58,1281.4285714285713,7
424_2024-06-20_in_46,2121.6,5
424_2024-06-20_in_47,1906.8,5
424_2024-06-19_in_39,3856.5,4
424_2024-06-19_in_40,1900.0,6
424_2024-06-18_in_44,1816.5294117647059,17
424_2024-06-18_in_45,2285.0,6
424_2024-06-15_in_42,2547.8,5
424_2024-06-15_in_43,1509.08,25
424_2024-06-11_in_40,2854.0,4
424_2024-06-11_in_41,1363.0,28
424_2024-06-08_in_49,2329.8,5
424_2024-06-08_in_50,2115.8333333333335,18
424_2024-06-07_in_65,2796.3333333333335,6
424_2024-06-07_in_66,1882.142857142857,7
424_2024-06-06_out_57,1669.0,14
424_2024-06-06_in_75,2052.0,5
424_2024-06-05_in_55,1923.5,6
424_2024-06-05_in_56,1268.1176470588234,17
301_2023-07-26_in_27,1321.125,8
301_2023-07-12_in_44,1426.3157894736842,19
301_2023-07-05_out_29,1381.4,5
301_2023-07-05_in_29,1391.857142857143,7
301_2023-07-05_in_30,1430.2941176470588,17
301_2023-06-10_out_22,1714.2,5
301_2023-02-17_out_23,579.4,10
301_2023-02-17_in_26,346.6666666666667,9
301_2023-01-25_out_29,535.5,10
301_2023-01-25_in_29,1351.5714285714287,7
301_2023-01-24_in_16,1455.111111111111,9
298_2023-09-29_out_64,1258.7777777777778,9
298_2023-09-29_in_61,1390.4285714285713,7
298_2023-06-01_in_37,1481.75,8
298_2023-06-01_in_38,1344.4285714285713,14
298_2023-01-20_out_35,1627.0,5
298_2023-01-20_out_36,1627.0,5
298_2023-01-20_in_36,844.3846153846154,13
298_2023-01-19_out_35,1513.3333333333333,18
298_2023-01-19_in_36,1290.0,7
298_2022-11-25_in_45,1621.875,8
298_2022-11-25_in_46,2560.3,10
298_2022-11-24_in_35,1237.7777777777778,9
298_2022-11-24_in_36,1644.7857142857142,14
298_2022-10-27_out_44,1534.0,5
298_2022-10-27_out_45,1439.4,5
298_2022-10-27_in_49,1380.0,7
298_2022-10-27_in_50,1734.857142857143,7
298_2022-10-26_out_20,427.8,10
298_2022-10-26_out_21,1394.1666666666667,6
298_2022-10-26_in_30,1160.7,10
298_2022-10-26_in_31,1919.7777777777778,9
298_2022-10-20_in_24,1213.5555555555557,9
298_2022-10-19_in_34,1843.2,15
298_2022-10-14_out_19,517.375,8
298_2022-10-14_out_20,1404.6,5
298_2022-10-14_in_20,434.14285714285717,14
298_2022-10-14_in_21,1268.4642857142858,28
278_2023-10-12_out_49,713.0,1
278_2023-10-12_in_54,1513.6666666666667,3
278_2023-06-10_in_17,1305.75,8
278_2023-05-26_in_29,1438.875,8
278_2023-04-21_in_26,846.3333333333334,6
278_2023-03-31_in_36,620.375,8
278_2023-03-16_in_16,1346.1666666666667,6
278_2023-03-03_in_23,1485.0,2
278_2023-02-10_in_28,1460.6,5
278_2023-02-03_out_26,634.5555555555555,9
278_2023-02-03_in_25,1369.5,6
278_2023-01-20_in_31,1168.142857142857,7
278_2022-10-18_out_22,1684.2,5
278_2022-10-18_out_23,1406.8333333333333,6
278_2022-10-18_in_22,1865.5333333333333,15
278_2022-10-18_in_23,1632.857142857143,7
191_2024-07-31_in_29,1349.71875,32
191_2024-07-30_out_21,1397.642857142857,14
191_2024-07-30_out_22,1289.1142857142856,35
